  n  |attractor|  L  sampMax  tail(1)  tail(9)  max-n   max/n   max/(n*log2 n)   sqrt(2^n)
  2           3   1        1        1        1     -1   0.5000           0.5000     2.00e+0
  3           4   1        2        2        2     -1   0.6667           0.4206     2.83e+0
  4           6   2        2        2        2     -2   0.5000           0.2500     4.00e+0
  5           8   2        4        2        4     -1   0.8000           0.3445     5.66e+0
  6          10   2        5        2        5     -1   0.8333           0.3224     8.00e+0
  7          12   2        6        2        6     -1   0.8571           0.3053     1.13e+1
  8          14   2        8        2        8      0   1.0000           0.3333     1.60e+1
  9          18   4        8        2        8     -1   0.8889           0.2804     2.26e+1
 10          22   4       11        5       11      1   1.1000           0.3311     3.20e+1
 11          26   4       12        6       11      1   1.0909           0.3153     4.53e+1
 12          30   4       14        8       14      2   1.1667           0.3254     6.40e+1
 13          34   4       14        8       14      1   1.0769           0.2910     9.05e+1
 14          38   4       16       10       16      2   1.1429           0.3002     1.28e+2
 15          42   4       17       11       17      2   1.1333           0.2901     1.81e+2
 16          46   4       19       13       19      3   1.1875           0.2969     2.56e+2
 17          50   4       22       16       22      5   1.2941           0.3166     3.62e+2
 18          54   4       22       16       22      4   1.2222           0.2931     5.12e+2
 19          58   4       26       20       26      7   1.3684           0.3221     7.24e+2
 20          62   4       26       20       26      6   1.3000           0.3008     1.02e+3
 21          66   4       29       23       29      8   1.3810           0.3144     1.45e+3
 22          70   4       29       23       29      7   1.3182           0.2956     2.05e+3
 23          74   4       31       25       31      8   1.3478           0.2980     2.90e+3
 24          78   4       31       25       31      7   1.2917           0.2817     4.10e+3
 25          82   4       33       27       33      8   1.3200           0.2842     5.79e+3
 26          86   4       34       28       34      8   1.3077           0.2782     8.19e+3
 27          90   4       35       29       35      8   1.2963           0.2726     1.16e+4
 28          94   4       36       30       36      8   1.2857           0.2674     1.64e+4
 29          98   4       37       31       37      8   1.2759           0.2626     2.32e+4
 30         106   8       37       31       37      7   1.2333           0.2513     3.28e+4
 31         114   8       39       33       39      8   1.2581           0.2539     4.63e+4
 32         122   8       40       34       40      8   1.2500           0.2500     6.55e+4
 33         130   8       42       36       42      9   1.2727           0.2523     9.27e+4
 34         138   8       42       36       42      8   1.2353           0.2428     1.31e+5
 35         146   8       46       40       46     11   1.3143           0.2562     1.85e+5
 36         154   8       46       40       46     10   1.2778           0.2472     2.62e+5
 37         162   8       52       46       52     15   1.4054           0.2698     3.71e+5
 38         170   8       52       46       52     14   1.3684           0.2608     5.24e+5
 39         178   8       54       48       54     15   1.3846           0.2620     7.41e+5
 40         186   8       56       50       56     16   1.4000           0.2631     1.05e+6
 41         194   8       61       55       61     20   1.4878           0.2777     1.48e+6
 42         202   8       61       55       61     19   1.4524           0.2693     2.10e+6
 43         210   8       63       57       63     20   1.4651           0.2700     2.97e+6
 44         218   8       63       57       63     19   1.4318           0.2623     4.19e+6
 45         226   8       67       61       67     22   1.4889           0.2711     5.93e+6
 46         234   8       67       61       67     21   1.4565           0.2637     8.39e+6
 47         242   8       70       64       70     23   1.4894           0.2681     1.19e+7
 48         250   8       70       64       70     22   1.4583           0.2611     1.68e+7
 49         258   8       77       71       77     28   1.5714           0.2799     2.37e+7
 50         266   8       77       71       77     27   1.5400           0.2729     3.36e+7
 51         274   8       79       73       79     28   1.5490           0.2731     4.75e+7
 52         282   8       80       74       80     28   1.5385           0.2699     6.71e+7
 53         290   8       82       76       82     29   1.5472           0.2701     9.49e+7
 54         298   8       82       76       82     28   1.5185           0.2639     1.34e+8
 55         306   8       84       78       84     29   1.5273           0.2642     1.90e+8
 56         314   8       84       78       84     28   1.5000           0.2583     2.68e+8
 57         322   8       88       82       88     31   1.5439           0.2647     3.80e+8
 58         330   8       88       82       88     30   1.5172           0.2590     5.37e+8
 59         338   8       90       84       90     31   1.5254           0.2593     7.59e+8
 60         346   8       91       85       91     31   1.5167           0.2568      2^30.0
 61         354   8       92       86       92     31   1.5082           0.2543      2^30.5
 62         362   8       93       87       93     31   1.5000           0.2519      2^31.0
 63         370   8       93       87       93     30   1.4762           0.2470      2^31.5
 64         378   8       97       91       97     33   1.5156           0.2526      2^32.0
 65         386   8       97       91       97     32   1.4923           0.2478      2^32.5
 66         394   8       99       93       99     33   1.5000           0.2482      2^33.0
